feature,corr,abs_corr,n
season_wr_diff,0.1723,0.1723,25332
team_win_rate_last5_diff,0.1553,0.1553,25332
pt_diff_home_last5,0.1409,0.1409,25332
team_home_season_wr,0.1278,0.1278,25332
team_home_win_rate_last20,0.1271,0.1271,25332
h2h_home_wr,0.1268,0.1268,11622
pt_diff_away_last5,-0.1243,0.1243,25332
team_home_win_rate_last10,0.1239,0.1239,25332
team_home_win_rate_last5,0.1137,0.1137,25332
team_away_win_rate_last20,-0.1119,0.1119,25332
team_away_season_wr,-0.1118,0.1118,25332
home_home_wr,0.1087,0.1087,23973
team_away_win_rate_last10,-0.1075,0.1075,25332
team_away_win_rate_last5,-0.1026,0.1026,25332
away_away_wr,-0.0933,0.0933,23990
pts_for_home_last5,0.0732,0.0732,25332
pts_for_away_last5,-0.0689,0.0689,25332
pts_against_home_last5,-0.0648,0.0648,25332
pts_against_away_last5,0.0501,0.0501,25332
rest_diff,-0.0226,0.0226,25332
rest_home,-0.0094,0.0094,25332
rest_away,0.0093,0.0093,25332
h2h_n,0.0007,0.0007,25332
