iter	RMSE
0	9.711600979
1	9.539385238
2	9.381518405
3	9.165208293
4	8.950044641
5	8.79147822
6	8.687027348
7	8.532487467
8	8.373907865
9	8.235336314
10	8.090736215
11	7.990304175
12	7.826657414
13	7.694227468
14	7.601554002
15	7.429382516
16	7.285394409
17	7.18771347
18	7.063499067
19	6.945082283
20	6.871118538
21	6.714740297
22	6.646760335
23	6.531244473
24	6.479716307
25	6.418035203
26	6.282573924
27	6.141269463
28	6.002686526
29	5.932799414
30	5.850395574
31	5.772616351
32	5.660994237
33	5.621928426
34	5.544716443
35	5.477404335
36	5.389450116
37	5.336734826
38	5.272574282
39	5.19506979
40	5.11266772
41	5.069681435
42	5.026384298
43	4.965445132
44	4.884182892
45	4.811428459
46	4.739082051
47	4.63243156
48	4.560593347
49	4.487447997
50	4.429997707
51	4.379383215
52	4.345167075
53	4.322022904
54	4.280862541
55	4.226677654
56	4.192576938
57	4.098433547
58	4.057840374
59	3.988640805
60	3.949160227
61	3.910318936
62	3.860775944
63	3.815912899
64	3.767516292
65	3.703255871
66	3.655845517
67	3.602607641
68	3.569975985
69	3.538817239
70	3.45479583
71	3.397209314
72	3.350177007
73	3.313552529
74	3.288365803
75	3.241612261
76	3.189786217
77	3.140046711
78	3.113825785
79	3.076702634
80	3.03045688
81	3.010084905
82	2.957743389
83	2.915338285
84	2.8858184
85	2.852383471
86	2.832389226
87	2.787634205
88	2.762213536
89	2.728523208
90	2.707756471
91	2.65947517
92	2.623647347
93	2.606929742
94	2.586238029
95	2.542392816
96	2.507955186
97	2.468083004
98	2.433192939
99	2.395753746
100	2.357420981
101	2.307100261
102	2.263778078
103	2.246394803
104	2.207306482
105	2.16932999
106	2.143613511
107	2.111272032
108	2.072258134
109	2.040538697
110	2.009320405
111	1.979742362
112	1.95537416
113	1.917145989
114	1.892995341
115	1.872637412
116	1.860284479
117	1.845340965
118	1.829179896
119	1.80351933
