iter	Passed	Remaining
0	4	552
1	8	494
2	15	608
3	19	553
4	31	722
5	36	685
6	41	670
7	50	711
8	59	728
9	63	703
10	69	685
11	72	653
12	77	639
13	84	640
14	89	627
15	92	603
16	95	578
17	99	563
18	102	544
19	105	526
20	107	509
21	109	489
22	112	474
23	116	464
24	120	457
25	124	450
26	127	438
27	129	425
28	131	413
29	134	402
30	136	391
31	139	382
32	146	385
33	153	388
34	157	383
35	167	390
36	171	384
37	173	375
38	177	369
39	181	362
40	185	357
41	188	350
42	192	344
43	195	337
44	199	332
45	201	324
46	205	319
47	208	313
48	213	309
49	216	302
50	219	297
51	222	291
52	225	285
53	230	281
54	232	274
55	235	269
56	237	262
57	239	255
58	242	250
59	244	244
60	247	239
61	251	235
62	254	230
63	257	225
64	260	220
65	263	215
66	266	210
67	269	205
68	274	202
69	280	200
70	283	195
71	290	193
72	294	189
73	297	184
74	299	179
75	302	175
76	305	170
77	310	166
78	312	162
79	314	157
80	317	152
81	319	148
82	322	143
83	325	139
84	327	134
85	329	130
86	332	126
87	334	121
88	336	117
89	339	113
90	341	108
91	343	104
92	346	100
93	347	96
94	349	91
95	353	88
96	355	84
97	357	80
98	361	76
99	363	72
100	365	68
101	370	65
102	373	61
103	376	57
104	380	54
105	381	50
106	383	46
107	386	42
108	388	39
109	392	35
110	394	31
111	396	28
112	399	24
113	401	21
114	404	17
115	408	14
116	411	10
117	414	7
118	416	3
119	420	0
