iter	Passed	Remaining
0	58	29066
1	114	28393
2	185	30655
3	261	32464
4	334	33146
5	523	43142
6	709	49942
7	804	49501
8	870	47512
9	939	46046
10	1007	44809
11	1096	44590
12	1171	43897
13	1246	43280
14	1316	42554
15	1394	42184
16	1463	41576
17	1582	42364
18	1703	43119
19	1788	42916
20	1865	42559
21	1944	42249
22	2048	42479
23	2164	42937
24	2276	43252
25	2377	43348
26	2437	42693
27	2500	42151
28	2566	41683
29	2627	41169
30	2687	40662
31	2754	40279
32	2815	39836
33	2881	39498
34	2949	39185
35	3020	38925
36	3084	38598
37	3148	38278
38	3216	38015
39	3283	37763
40	3350	37505
41	3417	37266
42	3484	37028
43	3553	36825
44	3621	36612
45	3682	36349
46	3744	36088
47	3812	35900
48	3884	35748
49	3952	35574
50	4017	35370
51	4089	35233
52	4150	35007
53	4214	34805
54	4278	34619
55	4344	34442
56	4409	34274
57	4474	34101
58	4541	33946
59	4613	33833
60	4688	33743
61	4749	33553
62	4809	33359
63	4871	33184
64	4948	33116
65	5013	32969
66	5088	32883
67	5196	33011
68	5273	32938
69	5335	32778
70	5406	32665
71	5473	32535
72	5535	32381
73	5606	32278
74	5674	32156
75	5734	31991
76	5791	31813
77	5850	31654
78	5917	31536
79	5989	31447
80	6063	31364
81	6139	31296
82	6209	31195
83	6284	31121
84	6354	31024
85	6419	30904
86	6494	30829
87	6561	30720
88	6633	30635
89	6803	30995
90	6949	31236
91	7074	31375
92	7171	31384
93	7235	31249
94	7296	31106
95	7359	30972
96	7427	30860
97	7498	30757
98	7561	30626
99	7623	30493
100	7689	30377
101	7750	30242
102	7814	30118
103	7876	29990
104	7942	29879
105	8005	29757
106	8076	29664
107	8150	29581
108	8230	29522
109	8299	29426
110	8365	29317
111	8441	29244
112	8512	29154
113	8580	29053
114	8651	28962
115	8725	28885
116	8793	28786
117	8856	28671
118	8921	28564
119	8992	28476
120	9060	28378
121	9121	28260
122	9191	28171
123	9256	28069
124	9317	27952
125	9395	27889
126	9457	27776
127	9532	27703
128	9607	27632
129	9671	27526
130	9729	27406
131	9800	27323
132	9868	27230
133	9939	27149
134	10016	27080
135	10091	27008
136	10159	26917
137	10230	26837
138	10305	26763
139	10369	26663
140	10427	26550
141	10487	26440
142	10550	26339
143	10608	26226
144	10668	26118
145	10722	25998
146	10795	25923
147	10862	25836
148	10924	25734
149	10989	25642
150	11055	25553
151	11121	25461
152	11186	25369
153	11251	25278
154	11309	25173
155	11371	25076
156	11433	24979
157	11505	24903
158	11585	24846
159	11679	24817
160	11745	24731
161	11814	24649
162	11880	24562
163	11940	24464
164	12008	24381
165	12071	24287
166	12132	24192
167	12196	24102
168	12261	24014
169	12320	23916
170	12394	23846
171	12456	23753
172	12509	23645
173	12570	23551
174	12635	23465
175	12699	23377
176	12775	23314
177	12838	23224
178	12897	23128
179	12962	23044
180	13034	22972
181	13095	22880
182	13160	22796
183	13226	22714
184	13288	22627
185	13351	22538
186	13410	22446
187	13480	22371
188	13548	22293
189	13610	22207
190	13679	22130
191	13744	22048
192	13814	21973
193	13880	21894
194	13952	21823
195	14026	21755
196	14092	21675
197	14249	21734
198	14347	21701
199	14444	21667
200	14520	21600
201	14579	21508
202	14642	21423
203	14702	21333
204	14780	21269
205	14843	21184
206	14909	21104
207	14971	21017
208	15041	20943
209	15114	20872
210	15177	20787
211	15242	20707
212	15312	20632
213	15391	20570
214	15468	20504
215	15530	20419
216	15593	20336
217	15654	20249
218	15713	20162
219	15777	20080
220	15834	19990
221	15902	19913
222	15964	19829
223	16035	19757
224	16100	19677
225	16171	19605
226	16231	19521
227	16300	19445
228	16367	19369
229	16434	19293
230	16491	19203
231	16545	19112
232	16607	19031
233	16678	18958
234	16749	18887
235	16815	18810
236	16883	18736
237	16950	18660
238	17017	18584
239	17078	18501
240	17140	18421
241	17203	18341
242	17274	18269
243	17330	18182
244	17397	18108
245	17464	18032
246	17547	17974
247	17628	17913
248	17689	17832
249	17752	17752
250	17817	17675
251	17886	17602
252	17950	17524
253	18017	17450
254	18080	17371
255	18143	17292
256	18204	17212
257	18273	17140
258	18358	17082
259	18503	17079
260	18567	17002
261	18640	16933
262	18711	16861
263	18775	16783
264	18834	16702
265	18905	16631
266	18976	16560
267	19043	16485
268	19111	16411
269	19178	16337
270	19253	16269
271	19314	16190
272	19381	16115
273	19452	16044
274	19519	15970
275	19582	15892
276	19657	15825
277	19722	15749
278	19786	15672
279	19845	15593
280	19909	15516
281	19969	15437
282	20035	15362
283	20115	15299
284	20192	15233
285	20256	15156
286	20336	15092
287	20411	15024
288	20477	14951
289	20542	14875
290	20615	14806
291	20683	14733
292	20753	14661
293	20815	14585
294	20885	14513
295	20954	14441
296	21023	14369
297	21093	14298
298	21167	14229
299	21227	14151
300	21294	14078
301	21369	14010
302	21450	13946
303	21534	13884
304	21597	13808
305	21658	13731
306	21718	13653
307	21789	13582
308	21862	13513
309	21934	13443
310	21984	13360
311	22046	13284
312	22102	13205
313	22158	13125
314	22242	13063
315	22292	12980
316	22369	12913
317	22448	12848
318	22519	12777
319	22588	12705
320	22679	12646
321	22762	12582
322	22825	12508
323	22878	12428
324	22950	12357
325	23005	12279
326	23071	12206
327	23139	12134
328	23210	12063
329	23288	11997
330	23362	11928
331	23444	11863
332	23521	11795
333	23593	11726
334	23669	11658
335	23738	11586
336	23800	11511
337	23865	11438
338	23929	11364
339	23991	11290
340	24065	11221
341	24132	11149
342	24208	11081
343	24299	11019
344	24384	10955
345	24453	10884
346	24523	10812
347	24608	10748
348	24682	10679
349	24755	10609
350	24835	10542
351	24926	10480
352	25003	10412
353	25082	10344
354	25151	10272
355	25224	10203
356	25287	10129
357	25343	10052
358	25399	9976
359	25462	9902
360	25522	9827
361	25605	9761
362	25661	9684
363	25730	9613
364	25791	9539
365	25861	9468
366	25928	9396
367	25993	9323
368	26056	9250
369	26123	9178
370	26189	9106
371	26253	9033
372	26325	8963
373	26397	8893
374	26467	8822
375	26538	8752
376	26598	8677
377	26650	8601
378	26699	8524
379	26758	8449
380	26821	8377
381	26895	8308
382	26967	8238
383	27027	8164
384	27085	8090
385	27145	8016
386	27210	7945
387	27283	7875
388	27351	7804
389	27417	7733
390	27485	7662
391	27558	7592
392	27633	7523
393	27702	7452
394	27771	7382
395	27834	7309
396	27901	7238
397	27972	7168
398	28039	7097
399	28110	7027
400	28183	6957
401	28250	6886
402	28307	6813
403	28379	6743
404	28453	6674
405	28521	6603
406	28578	6530
407	28648	6460
408	28712	6388
409	28775	6316
410	28835	6244
411	28900	6172
412	28959	6100
413	29025	6029
414	29096	5959
415	29165	5889
416	29237	5819
417	29301	5748
418	29373	5678
419	29439	5607
420	29511	5537
421	29577	5466
422	29657	5398
423	29727	5328
424	29798	5258
425	29862	5187
426	29925	5116
427	29990	5045
428	30094	4980
429	30144	4907
430	30199	4834
431	30252	4761
432	30310	4690
433	30370	4618
434	30443	4549
435	30512	4478
436	30574	4407
437	30652	4338
438	30722	4269
439	30801	4200
440	30866	4129
441	30930	4058
442	30989	3987
443	31060	3917
444	31127	3847
445	31195	3776
446	31259	3706
447	31331	3636
448	31398	3566
449	31467	3496
450	31567	3429
451	31634	3359
452	31702	3289
453	31775	3219
454	31847	3149
455	31917	3079
456	31989	3009
457	32054	2939
458	32121	2869
459	32191	2799
460	32258	2728
461	32329	2659
462	32405	2589
463	32466	2518
464	32531	2448
465	32596	2378
466	32657	2307
467	32730	2237
468	32798	2167
469	32875	2098
470	32945	2028
471	33009	1958
472	33077	1888
473	33160	1818
474	33229	1748
