league,matches,share
Regular season,451,0.10094
NBA,112,0.025067
NBA G League,90,0.020143
"Poland 2nd Basketball League, Runda Zasadnicza",81,0.018129
"Liga Argentina, Group Stage",60,0.013429
China CBA,58,0.012981
"NCAA Division II, Championship",56,0.012534
"The Basketball League, Regular Season",53,0.011862
B1 League,53,0.011862
Super League,44,0.009848
"NCAA Division I, Championship",44,0.009848
Brazil NBB,38,0.008505
Argentina Liga Nacional,34,0.00761
Superliga,34,0.00761
"CIBACOPA , Primera Vuelta",33,0.007386
NexLvl Cyber Euroleague,30,0.006714
Euroleague,30,0.006714
"EYBL U16, SUPERFINAL - 12./15.03.2026 - Riga, Latvia",30,0.006714
Womens National Invitation Tournament,30,0.006714
"EYBL U13, SUPERFINAL - 12./15.03.2026 - Riga, Latvia",29,0.006491
Élite 2,29,0.006491
"Divisione Regionale 1 Toscana, Girone B",28,0.006267
"Divisione Regionale 1 Toscana, Girone A",28,0.006267
"EYBL U15, SUPERFINAL - 12./15.03.2026 - Riga, Latvia",28,0.006267
"NCAA Division I, Championship Women",28,0.006267
RKL Division A,27,0.006043
B2 League,27,0.006043
Germany BBL,25,0.005595
"NBL, Playoffs",25,0.005595
"CBI U19, Sede Curitiba",25,0.005595
NBL,24,0.005372
Erkekler Basketbol Gençler Ligi - A Grubu,24,0.005372
National Invitation Tournament,24,0.005372
"Nationale 1, Relegation Round",23,0.005148
Liga ACB,22,0.004924
Germany Pro A,22,0.004924
Bulgaria NBL,21,0.0047
Primera FEB,21,0.0047
A1 ESKAH,21,0.0047
" Liga 1 Masculin, Faza II",21,0.0047
"Nationale 1, Promotion Round",21,0.0047
Kızlar Basketbol Gençler Ligi - A Grubu,21,0.0047
Poland 1st Division Basketball,20,0.004476
"Serie B Interregionale, Division F",20,0.004476
"NCAA Division III, Championship",20,0.004476
"Serie B Interregionale, Division D",20,0.004476
"Egyptian Basketball Super League, Regular Season",20,0.004476
Turkish Basketball Super League,19,0.004252
TBL,19,0.004252
Meridianbet KLS,19,0.004252
"Serie C Unica Toscana, Conference Nord - Ovest Girone C",19,0.004252
"Serie B Interregionale, Division A",19,0.004252
"Egyptian Women's Basketball Super League, Regular Season",19,0.004252
"CBI U19, Sede Rio",19,0.004252
I A MCKL,18,0.004029
Estonian-Latvian Basketball League,18,0.004029
Lega A Basket,18,0.004029
2nd League,17,0.003805
"ABA Liga, Relegation Round",17,0.003805
BNXT League,17,0.003805
Tipos SBL,17,0.003805
"Serie B, Group A",17,0.003805
"Serie B, Group B",17,0.003805
Korean Basketball League,17,0.003805
Elite League,17,0.003805
"Serie B Interregionale, Division C",16,0.003581
"Uruguay LUB, Relegation Round",16,0.003581
1. Division B,16,0.003581
Croatian Premier League,16,0.003581
United League,16,0.003581
Womens Basketball Invitation Tournament,16,0.003581
"1 Liga Kobiet, Runda Zasadnicza",15,0.003357
2. Muška Liga,15,0.003357
U21 Espoirs Elite,15,0.003357
Liga Nationala,15,0.003357
Jedinstvena kadetska liga,15,0.003357
Prva RL Istok,15,0.003357
