accuracy,brier,f1,log_loss,model,precision,recall,roc_auc,samples_test,samples_total,samples_train,target,version
0.726908,0.178012,,0.528175,logreg,,,,498,2489,1991,q3,v1
0.686747,0.211891,,0.612715,rf,,,,498,2489,1991,q3,v1
0.700803,0.185339,,0.550698,gb,,,,498,2489,1991,q3,v1
0.728916,0.182535,,0.544597,ensemble_avg_prob,,,,498,2489,1991,q3,v1
0.711613,0.183499,0.734957,0.543727,logreg,0.694181,0.780822,0.802274,1283,6411,5128,q3,v2
0.652377,0.215803,0.70227,0.620459,rf,0.625446,0.800609,0.721337,1283,6411,5128,q3,v2
0.70304,0.189753,0.730361,0.559663,gb,0.68254,0.785388,0.785747,1283,6411,5128,q3,v2
0.714731,0.187474,0.74189,0.554672,ensemble_avg_prob,0.691196,0.800609,0.794681,1283,6411,5128,q3,v2
0.717069,0.183972,0.738661,0.545657,logreg,0.70082,0.780822,0.801851,1283,6411,5128,q3,v4
0.667186,0.208913,0.706529,0.605013,rf,0.64411,0.782344,0.740862,1283,6411,5128,q3,v4
0.70226,0.191351,0.730606,0.563996,gb,0.680683,0.788432,0.78177,1283,6411,5128,q3,v4
0.706157,0.187274,0.732814,0.553561,ensemble_avg_prob,0.685676,0.78691,0.793733,1283,6411,5128,q3,v4
0.766734,0.158643,,0.474379,logreg,,,,493,2465,1972,q4,v1
0.691684,0.210421,,0.610271,rf,,,,493,2465,1972,q4,v1
0.766734,0.163425,,0.496406,gb,,,,493,2465,1972,q4,v1
0.766734,0.163718,,0.501492,ensemble_avg_prob,,,,493,2465,1972,q4,v1
0.761682,0.16046,0.778902,0.492059,logreg,0.771102,0.786861,0.846596,1284,6418,5134,q4,v2
0.71028,0.20596,0.749326,0.601143,rf,0.69587,0.811679,0.784085,1284,6418,5134,q4,v2
0.759346,0.16181,0.777217,0.493697,gb,0.767806,0.786861,0.845319,1284,6418,5134,q4,v2
0.765576,0.163181,0.784538,0.500484,ensemble_avg_prob,0.769663,0.8,0.851872,1284,6418,5134,q4,v2
0.760903,0.161144,0.778019,0.492629,logreg,0.770774,0.785401,0.845965,1284,6418,5134,q4,v4
0.738318,0.192559,0.768276,0.570951,rf,0.728105,0.813139,0.807024,1284,6418,5134,q4,v4
0.757009,0.164152,0.778094,0.497837,gb,0.758669,0.79854,0.83955,1284,6418,5134,q4,v4
0.760125,0.16256,0.780314,0.496486,ensemble_avg_prob,0.762901,0.79854,0.848185,1284,6418,5134,q4,v4
