match_id,datetime,league,gender_bucket,home_prior_wr,away_prior_wr,prior_wr_diff,q1_diff,q2_diff,ht_home,ht_away,ht_diff,gp_count,gp_last,gp_peak_home,gp_peak_away,gp_area_home,gp_area_away,gp_area_diff,gp_mean_abs,gp_swings,pbp_home_plays,pbp_away_plays,pbp_plays_diff,pbp_home_3pt,pbp_away_3pt,pbp_3pt_diff,target_q3_home_win
15500633,2026-03-07T12:00:00,"1. liga, Women",women,0.0,0.0,0.0,-2,7,34,29,5,24,14,14,8,54,57,-3,4.625,1,26,21,5,3,0,3,1
15503484,2026-03-07T12:00:00,"Nostra.lt-RKL Division B, Reguliarusis sezonas",men_or_open,0.0,0.0,0.0,0,-4,38,42,-4,24,-5,3,9,5,82,-77,3.625,2,24,24,0,2,5,-3,1
15503486,2026-03-07T12:00:00,"Nostra.lt-RKL Division B, Reguliarusis sezonas",men_or_open,0.0,0.0,0.0,-12,-4,36,52,-16,24,-17,-5,17,0,262,-262,10.916666666666666,0,21,30,-9,8,10,-2,1
15558921,2026-03-07T12:00:00,"LF Challenge, Regular Season",men_or_open,0.0,0.0,0.0,6,-1,40,35,5,24,4,10,0,100,0,100,4.166666666666667,0,26,22,4,6,5,1,1
15592144,2026-03-07T12:00:00,"Basketligaen, Placement round",men_or_open,0.0,0.0,0.0,-2,-5,40,47,-7,24,-5,1,8,1,87,-86,3.6666666666666665,2,24,34,-10,4,6,-2,0
15633695,2026-03-07T12:00:00,"Kvindebasketligaen , Kvartfinaler",men_or_open,0.0,0.0,0.0,6,-3,30,27,3,24,6,7,2,96,2,94,4.083333333333333,2,22,18,4,1,3,-2,1
15654689,2026-03-07T12:00:00,"1 Liga Kobiet, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-16,6,34,44,-10,24,-6,0,18,0,207,-207,8.625,0,23,25,-2,4,8,-4,1
15654690,2026-03-07T12:00:00,"1 Liga Kobiet, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-10,14,43,39,4,24,1,4,12,12,130,-118,5.916666666666667,1,23,24,-1,6,7,-1,0
15655488,2026-03-07T12:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,9,10,47,28,19,24,21,21,0,249,0,249,10.375,0,25,17,8,10,4,6,0
15655489,2026-03-07T12:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,-5,-2,40,47,-7,24,-6,1,12,1,163,-162,6.833333333333333,1,25,26,-1,5,6,-1,0
15655490,2026-03-07T12:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,-1,-1,49,51,-2,24,5,7,2,37,10,27,1.9583333333333333,9,31,31,0,6,4,2,0
15655491,2026-03-07T12:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,9,9,53,35,18,24,17,18,0,244,0,244,10.166666666666666,0,34,27,7,5,5,0,0
15665935,2026-03-07T12:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-2,-3,39,44,-5,24,-7,5,9,13,85,-72,4.083333333333333,2,21,29,-8,5,5,0,1
15665948,2026-03-07T12:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-2,-2,44,48,-4,24,-2,3,8,11,51,-40,2.5833333333333335,1,30,30,0,6,6,0,0
14500879,2026-03-07T12:30:00,Turkish Basketball Super League,men_or_open,0.0,0.0,0.0,5,-18,41,54,-13,24,-14,5,16,17,118,-101,5.625,4,29,34,-5,5,8,-3,1
15180628,2026-03-07T12:30:00,Indonesian Basketball League,men_or_open,0.0,0.0,0.0,-2,4,35,33,2,24,0,4,2,20,6,14,1.0833333333333333,8,21,21,0,5,4,1,0
15305898,2026-03-07T12:30:00,Superleague,men_or_open,0.0,0.0,0.0,11,-5,36,30,6,24,14,14,2,180,2,178,7.583333333333333,1,26,20,6,4,0,4,0
15477405,2026-03-07T12:30:00,"Extraliga, Women, Relegation Round",women,0.0,0.0,0.0,-5,11,30,24,6,24,10,10,5,63,38,25,4.208333333333333,1,23,14,9,2,1,1,1
14640949,2026-03-07T13:00:00,Swedish Basketball League Women,women,0.0,0.0,0.0,-7,-2,37,46,-9,24,-18,3,18,6,146,-140,6.333333333333333,2,23,31,-8,3,9,-6,0
14733878,2026-03-07T13:00:00,Super League,men_or_open,0.0,0.0,0.0,-8,-2,40,50,-10,24,-17,-2,17,0,183,-183,7.625,0,24,32,-8,5,4,1,0
15180629,2026-03-07T13:00:00,Indonesian Basketball League,men_or_open,0.0,0.0,0.0,2,-3,40,41,-1,24,1,4,7,25,30,-5,2.2916666666666665,3,30,30,0,5,5,0,1
15500634,2026-03-07T13:00:00,"1. liga, Women",women,0.0,0.0,0.0,10,9,39,20,19,24,27,27,0,292,0,292,12.166666666666666,0,25,15,10,3,2,1,1
15500635,2026-03-07T13:00:00,"1. liga, Women",women,0.0,0.0,0.0,-8,8,32,32,0,24,2,2,13,4,134,-130,5.75,1,18,19,-1,4,2,2,1
15521547,2026-03-07T13:00:00,"Superliga, Women",women,0.0,0.0,0.0,-9,-23,24,56,-32,24,-37,-2,37,0,398,-398,16.583333333333332,0,12,30,-18,3,7,-4,0
15521568,2026-03-07T13:00:00,"FSHB Superliga, K.K.M 2025-26",men_or_open,0.0,0.0,0.0,-18,-12,23,53,-30,24,-37,-5,39,0,466,-466,19.416666666666668,0,13,30,-17,2,8,-6,0
15535350,2026-03-07T13:00:00,"NKL, Relegation Round",men_or_open,0.0,0.0,0.0,11,-8,42,39,3,24,5,13,2,184,2,182,7.75,2,31,28,3,7,5,2,1
15592143,2026-03-07T13:00:00,"Basketligaen, Placement round",men_or_open,0.0,1.0,-1.0,10,8,52,34,18,24,19,19,2,241,2,239,10.125,1,31,19,12,3,7,-4,1
15655492,2026-03-07T13:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,20,1,56,35,21,24,23,23,1,354,0,354,14.75,0,30,20,10,8,2,6,1
15655493,2026-03-07T13:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,-4,13,39,30,9,24,9,11,5,101,30,71,5.458333333333333,2,29,21,8,0,5,-5,0
15665947,2026-03-07T13:00:00,"Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-8,-17,32,57,-25,24,-21,3,27,4,317,-313,13.375,1,21,31,-10,6,10,-4,0
15677078,2026-03-07T13:00:00,"Basket Liga, Women, Playout",women,0.0,0.0,0.0,-6,14,48,40,8,24,8,12,6,84,25,59,4.541666666666667,2,32,28,4,5,4,1,0
14453593,2026-03-07T13:30:00,Austrian Women's Basketball Bundesliga,women,0.0,0.0,0.0,8,17,48,23,25,24,32,32,0,327,0,327,13.625,0,28,15,13,8,2,6,1
14554242,2026-03-07T13:30:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,18,-7,41,30,11,24,13,21,1,287,1,286,12.0,1,25,25,0,7,4,3,0
14554243,2026-03-07T13:30:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,-4,3,29,30,-1,24,-1,5,5,9,67,-58,3.1666666666666665,3,20,20,0,1,5,-4,1
14554246,2026-03-07T13:30:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,-3,1,43,45,-2,24,0,7,7,30,40,-10,2.9166666666666665,1,29,30,-1,3,4,-1,1
14456387,2026-03-07T14:00:00,Poland 1st Division Basketball,men_or_open,0.0,0.0,0.0,6,-3,53,50,3,24,5,7,1,112,0,112,4.666666666666667,0,41,28,13,4,8,-4,1
14554244,2026-03-07T14:00:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,8,-5,36,33,3,24,3,14,0,154,0,154,6.416666666666667,0,23,23,0,3,5,-2,1
14758592,2026-03-07T14:00:00,Stoiximan GBL,men_or_open,0.0,0.0,0.0,19,-4,54,39,15,24,21,22,0,371,0,371,15.458333333333334,0,36,22,14,5,6,-1,1
14902154,2026-03-07T14:00:00,I A MCKL,men_or_open,0.0,0.0,0.0,-7,1,36,42,-6,24,0,0,10,0,117,-117,4.875,0,24,25,-1,6,1,5,0
