match_id,datetime,league,gender_bucket,home_prior_wr,away_prior_wr,prior_wr_diff,q1_diff,q2_diff,q3_diff,score_3q_home,score_3q_away,score_3q_diff,gp_count,gp_last,gp_peak_home,gp_peak_away,gp_area_home,gp_area_away,gp_area_diff,gp_mean_abs,gp_swings,pbp_home_plays,pbp_away_plays,pbp_plays_diff,pbp_home_3pt,pbp_away_3pt,pbp_3pt_diff,target_q4_home_win
15500633,2026-03-07T12:00:00,"1. liga, Women",women,0.0,0.0,0.0,-2,7,9,56,42,14,36,15,21,8,240,57,183,8.25,1,35,31,4,4,1,3,0
15503484,2026-03-07T12:00:00,"Nostra.lt-RKL Division B, Reguliarusis sezonas",men_or_open,0.0,0.0,0.0,0,-4,4,57,57,0,36,-6,6,9,16,110,-94,3.5,4,37,36,1,3,5,-2,0
15503486,2026-03-07T12:00:00,"Nostra.lt-RKL Division B, Reguliarusis sezonas",men_or_open,0.0,0.0,0.0,-12,-4,4,61,73,-12,36,-17,-5,17,0,432,-432,12.0,0,32,42,-10,10,11,-1,0
15558921,2026-03-07T12:00:00,"LF Challenge, Regular Season",men_or_open,0.0,0.0,0.0,6,-1,3,59,51,8,36,5,12,0,179,0,179,4.972222222222222,0,39,32,7,9,8,1,0
15592144,2026-03-07T12:00:00,"Basketligaen, Placement round",men_or_open,0.0,0.0,0.0,-2,-5,-5,60,72,-12,36,-18,1,18,1,221,-220,6.166666666666667,2,32,51,-19,8,8,0,0
15654689,2026-03-07T12:00:00,"1 Liga Kobiet, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-16,6,11,52,51,1,36,4,4,18,18,228,-210,6.833333333333333,1,35,30,5,5,9,-4,1
15654690,2026-03-07T12:00:00,"1 Liga Kobiet, Runda Zasadnicza",men_or_open,0.0,0.0,0.0,-10,14,-5,59,60,-1,36,-4,9,12,41,147,-106,5.222222222222222,2,35,39,-4,8,11,-3,0
15655488,2026-03-07T12:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,9,10,-2,68,51,17,36,21,24,0,502,0,502,13.944444444444445,0,40,33,7,13,9,4,0
15655489,2026-03-07T12:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,-5,-2,-4,58,69,-11,36,-17,1,17,1,274,-273,7.638888888888889,1,39,41,-2,9,9,0,0
15655490,2026-03-07T12:00:00,RKL Division A,men_or_open,0.0,0.0,0.0,-1,-1,-2,62,66,-4,36,3,7,6,49,31,18,2.2222222222222223,13,41,41,0,7,8,-1,1
