model,n_train,n_test,mae,rmse,r2
ridge,5264,1317,3.66,4.71,0.512
gb,5264,1317,3.91,4.95,0.461
xgb,5264,1317,3.93,4.98,0.454
ensemble_avg,5264,1317,3.73,4.75,0.503
ensemble_weighted,5264,1317,3.79,4.82,0.488
stacking,5264,1317,3.65,4.66,0.521
ridge,5264,1317,3.63,4.63,0.498
gb,5264,1317,3.91,4.91,0.436
xgb,5264,1317,3.89,4.89,0.441
ensemble_avg,5264,1317,3.71,4.69,0.485
ensemble_weighted,5264,1317,3.77,4.76,0.471
stacking,5264,1317,3.62,4.63,0.498
ridge,5264,1317,5.07,6.72,0.57
gb,5264,1317,5.74,7.26,0.497
xgb,5264,1317,5.79,7.3,0.491
ensemble_avg,5264,1317,5.37,6.87,0.55
ensemble_weighted,5264,1317,5.51,7.01,0.532
stacking,5264,1317,5.06,6.65,0.579
ridge,5264,1317,3.4,4.51,0.512
gb,5264,1317,3.73,4.8,0.448
xgb,5264,1317,3.73,4.81,0.445
ensemble_avg,5264,1317,3.49,4.52,0.509
ensemble_weighted,5264,1317,3.57,4.61,0.49
stacking,5264,1317,3.39,4.45,0.524
ridge,5264,1317,3.35,4.56,0.485
gb,5264,1317,3.76,4.85,0.417
xgb,5264,1317,3.79,4.88,0.41
ensemble_avg,5264,1317,3.5,4.58,0.48
ensemble_weighted,5264,1317,3.59,4.67,0.459
stacking,5264,1317,3.35,4.52,0.493
ridge,5264,1317,5.15,7.22,0.476
gb,5264,1317,5.86,7.65,0.412
xgb,5264,1317,5.88,7.67,0.409
ensemble_avg,5264,1317,5.42,7.2,0.48
ensemble_weighted,5264,1317,5.58,7.34,0.458
stacking,5264,1317,5.18,7.15,0.486
