====================================================================================================
V11 - SOLO OVER BETTING REPORT
====================================================================================================
Total OVER bets: 144
Sportsbook line: 39.0

----------------------------------------------------------------------------------------------------
SUMMARY BY TARGET + GENDER
----------------------------------------------------------------------------------------------------
q3_total | men_or_open: 113 bets, 107 hits (94.7%), Profit: 91.37
q4_total | men_or_open: 31 bets, 30 hits (96.8%), Profit: 26.30

----------------------------------------------------------------------------------------------------
OVERALL TOTALS
----------------------------------------------------------------------------------------------------
OVER: 144 bets, 137 hits (95.1%), Profit: 117.67, ROI: 81.7%

----------------------------------------------------------------------------------------------------
ALL OVER MATCHES
----------------------------------------------------------------------------------------------------
  1. Las Baster                     vs Sporting Curasan               | Pred: 42.1 | Actual:   51 | Edge:   3.1 | Hit:True  | Profit:  0.91
  2. Club B?squet Santfeliuenc      vs Azulmarino Mallorca Palma      | Pred: 41.4 | Actual:   49 | Edge:   2.4 | Hit:True  | Profit:  0.91
  3. Indiana Pacers                 vs Miami Heat                     | Pred: 45.3 | Actual:   61 | Edge:   6.3 | Hit:True  | Profit:  0.91
  4. St. Louis Griffins             vs Lebanon Leprechauns            | Pred: 42.1 | Actual:   70 | Edge:   3.1 | Hit:True  | Profit:  0.91
  5. Muskogee SkyKings              vs Little Rock Lightning          | Pred: 42.6 | Actual:   66 | Edge:   3.6 | Hit:True  | Profit:  0.91
  6. Tampa Bay Titans               vs Fayetteville Liberty           | Pred: 42.1 | Actual:   55 | Edge:   3.1 | Hit:True  | Profit:  0.91
  7. Newfoundland Rogues            vs Halifax Hoopers                | Pred: 42.6 | Actual:   54 | Edge:   3.6 | Hit:True  | Profit:  0.91
  8. Banco di Sardegna Sassari      vs Nutribullet Treviso Basket     | Pred: 41.6 | Actual:   44 | Edge:   2.6 | Hit:True  | Profit:  0.91
  9. Mambra Mamer                   vs Arantia Larochette             | Pred: 39.8 | Actual:   49 | Edge:   0.8 | Hit:True  | Profit:  0.91
 10. BC Wings                       vs BC Akhaltsikhe                 | Pred: 39.0 | Actual:   49 | Edge:   0.0 | Hit:True  | Profit:  0.91
 11. Tangerang Hawks Basketball Clu vs Rans Simba Bogor               | Pred: 39.0 | Actual:   47 | Edge:   0.0 | Hit:True  | Profit:  0.91
 12. Stockton Kings                 vs Oklahoma City Blue             | Pred: 44.9 | Actual:   63 | Edge:   5.9 | Hit:True  | Profit:  0.91
 13. Rip City Remix                 vs Santa Cruz Warriors            | Pred: 45.8 | Actual:   54 | Edge:   6.8 | Hit:True  | Profit:  0.91
 14. Capitanes de Ciudad de M?xico  vs Salt Lake City Stars           | Pred: 45.9 | Actual:   48 | Edge:   6.9 | Hit:True  | Profit:  0.91
 15. Sioux Falls Skyforce           vs Valley Suns                    | Pred: 45.9 | Actual:   55 | Edge:   6.9 | Hit:True  | Profit:  0.91
 16. Iowa Wolves                    vs Rio Grande Valley Vipers       | Pred: 45.9 | Actual:   51 | Edge:   6.9 | Hit:True  | Profit:  0.91
 17. Noblesville Boom               vs Capital City Go-Go             | Pred: 46.2 | Actual:   48 | Edge:   7.2 | Hit:True  | Profit:  0.91
 18. Wisconsin Herd                 vs Greensboro Swarm               | Pred: 46.3 | Actual:   42 | Edge:   7.3 | Hit:True  | Profit:  0.91
 19. Motor City Cruise              vs College Park Skyhawks          | Pred: 44.5 | Actual:   68 | Edge:   5.5 | Hit:True  | Profit:  0.91
 20. Texas Legends                  vs South Bay Lakers               | Pred: 46.7 | Actual:   49 | Edge:   7.7 | Hit:True  | Profit:  0.91
 21. Grand Rapids Gold              vs Osceola Magic                  | Pred: 41.2 | Actual:   50 | Edge:   2.2 | Hit:True  | Profit:  0.91
 22. Windy City Bulls               vs Raptors 905                    | Pred: 45.9 | Actual:   74 | Edge:   6.9 | Hit:True  | Profit:  0.91
 23. Noblesville Boom               vs Capital City Go-Go             | Pred: 44.8 | Actual:   60 | Edge:   5.8 | Hit:True  | Profit:  0.91
 24. Westchester Knicks             vs Cleveland Charge               | Pred: 44.3 | Actual:   52 | Edge:   5.3 | Hit:True  | Profit:  0.91
