target,gender,match_id,home_team,away_team,sportsbook_line,prediction,actual,edge,bet,bet_hit,profit,roi_pct
q3_total,men_or_open,15556169,Academy Istanbul U13,Zalgiris U13,39.0,24.5,33,-14.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15556168,Tartu Ulikool U13,Akademia Mlodych Dzikow U13,39.0,26.5,35,-12.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15556167,SKM-Mustangs U13,RBS Centrs U13,39.0,22.5,31,-16.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15556166,Muks Basket Warszawa U13,Vienna United U13,39.0,23.7,34,-15.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15556165,Tartu Ulikool U13,BMS Herlev U13,39.0,23.8,39,-15.2,UNDER,False,-1,-100
q3_total,men_or_open,15556164,RBS Centrs U13,Muks Basket Warszawa U13,39.0,27.7,28,-11.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15556163,Zalgiris U13,Unibasket Lanciano U13,39.0,28.7,31,-10.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15556162,Akademia Mlodych Dzikow U13,Zalgiris U13,39.0,25.1,30,-13.9,UNDER,True,0.91,91.0
q3_total,women,15554517,Club Inmaa el Damour,Homenetmen Antelias,39.0,17.7,32,-21.3,UNDER,True,0.91,91.0
q3_total,women,15554516,NSA,Sporting Club Beirut,39.0,20.4,20,-18.6,UNDER,True,0.91,91.0
q3_total,women,15554515,Azour,AL Mtayleb,39.0,16.4,32,-22.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15553304,BK Brno,KP Brno,39.0,24.1,30,-14.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15553301,Slovanka MB,Levhartice Chomutov,39.0,25.1,40,-13.9,UNDER,False,-1,-100
q3_total,men_or_open,15553299,USK Praha,SB? Ostrava,39.0,29.0,34,-10.0,UNDER,True,0.91,91.0
q3_total,women,15552808,P?rnu Spordikool,TSA/Cityteed,39.0,19.6,35,-19.4,UNDER,True,0.91,91.0
q3_total,women,15550567,Groups Scolaire Marie Reine Rwaza,APR BBC,39.0,20.0,29,-19.0,UNDER,True,0.91,91.0
q3_total,women,15550566,REG BBC,RP-IPRC Huye,39.0,15.8,42,-23.2,UNDER,False,-1,-100
q3_total,women,15550565,GS Gahini,THE Hoops Bbc,39.0,21.2,26,-17.8,UNDER,True,0.91,91.0
q3_total,women,15550564,Groups Scolaire Marie Reine Rwaza,RP-IPRC Huye,39.0,20.2,20,-18.8,UNDER,True,0.91,91.0
q3_total,women,15548179,Enisey Krasnoyarsk,BC Samara,39.0,16.5,37,-22.5,UNDER,True,0.91,91.0
