target,gender,match_id,home_team,away_team,sportsbook_line,prediction,suggested_line,actual,edge,bet,bet_hit,profit,roi_pct
q3_total,women,15495105,MBK Ru?omberok,Sokol Hradec Kralove,55.0,17.8,22.8,35,-32.2,UNDER,True,0.91,91.0
q3_total,women,15495104,SKK Polonia Warszawa,KARA Trutnov,55.0,17.6,22.6,37,-32.4,UNDER,True,0.91,91.0
q3_total,women,15494370,Quimsa de Santiago del Estero,Hindu Club,55.0,18.3,23.3,32,-31.7,UNDER,True,0.91,91.0
q3_total,women,15494367,Nautico SP Avellaneda,Bochas SC Cordoba,55.0,15.6,20.6,48,-34.4,UNDER,True,0.91,91.0
q3_total,women,15494363,Ferro Carril Oeste,El Talar,55.0,17.8,22.8,27,-32.2,UNDER,True,0.91,91.0
q3_total,women,15494362,CA Lan?s,Deportivo Berazategui,55.0,20.6,25.6,24,-29.4,UNDER,True,0.91,91.0
q3_total,women,15493998,Clube Uni?o Sportiva,BC Barcelos,55.0,19.2,24.2,41,-30.8,UNDER,True,0.91,91.0
q3_total,women,15493997,CP Esgueira,CAB Madeira,55.0,17.8,22.8,35,-32.2,UNDER,True,0.91,91.0
q3_total,men_or_open,14442034,Denver Nuggets,Golden State Warriors,55.0,38.1,43.1,61,-11.9,UNDER,False,-1,-100
q3_total,men_or_open,15492717,CBC - Cora??o do Ribatejo,CBA Vigion Albufeira,55.0,25.5,30.5,35,-24.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15880671,Caballeros de Culiac?n,Toros Laguna,55.0,25.0,30.0,39,-25.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15656128,ADS Sentinels,Enid Outlaws,55.0,27.2,32.2,44,-22.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15492716,Estoril Basket Clube,Atl?tico CP,55.0,24.8,29.8,34,-25.2,UNDER,True,0.91,91.0
q3_total,men_or_open,15793862,Panteras de Miranda,Pioneros del Avila,55.0,29.6,34.6,42,-20.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15492715,ABA IPCB,OS Belenenses,55.0,26.1,31.1,46,-23.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15776209,Marinos de Oriente,H?roes de Falc?n,55.0,25.0,30.0,34,-25.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15492710,CBC - Cora??o do Ribatejo,Atl?tico CP,55.0,24.8,29.8,41,-25.2,UNDER,True,0.91,91.0
q3_total,men_or_open,15597804,The Sharks,CD Illapel Basquetbol,55.0,28.9,33.9,44,-21.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15492703,SC Vasco da Gama Sub23,CD P?voa Sub23,55.0,27.2,32.2,41,-22.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15597803,CDS B?squetbol Constituci?n,Liceo de Curic?,55.0,29.1,34.1,44,-20.9,UNDER,True,0.91,91.0
q3_total,men_or_open,14439237,Indiana Pacers,Miami Heat,55.0,45.3,50.3,61,-4.7,UNDER,False,-1,-100
q3_total,men_or_open,15776207,Centauros de Portuguesa,Trotamundos de Carabobo,55.0,30.7,35.7,56,-19.3,UNDER,False,-1,-100
q3_total,men_or_open,15492702,SC Beira-Mar,Basquete Barcelos Eticol,55.0,29.9,34.9,33,-20.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15656197,St. Louis Griffins,Lebanon Leprechauns,55.0,42.1,47.1,70,-7.9,UNDER,False,-1,-100
q3_total,men_or_open,15492701,Clube Galitos,Guif?es S.C.,55.0,24.4,29.4,32,-25.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15656142,Muskogee SkyKings,Little Rock Lightning,55.0,42.6,47.6,66,-7.4,UNDER,False,-1,-100
q3_total,men_or_open,15492700,Club 5Basket / Gondomar,FC Gaia,55.0,24.9,29.9,37,-25.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15639446,IVV/Cetaf,Am?rica Towers,55.0,25.9,30.9,31,-24.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15492687,Scalipus Set?bal,El?ctrico Futebol Clube,55.0,29.7,34.7,42,-20.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15366283,SC Lusitania Expert,Sampaense Basket,55.0,22.7,27.7,41,-27.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15492686,Portimonense SC Sub23,Carnide Clube,55.0,24.9,29.9,30,-25.1,UNDER,True,0.91,91.0
q3_total,women,15898269,UCLA Bruins,Duke Blue Devils,55.0,20.2,25.2,28,-29.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15492674,GDAS,Olivais Coimbra,55.0,25.2,30.2,39,-24.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15656228,Tampa Bay Titans,Fayetteville Liberty,55.0,42.1,47.1,55,-7.9,UNDER,False,-1,-100
q3_total,men_or_open,15656182,Grove City Whitetails,Kokomo Bobkats,55.0,29.8,34.8,52,-20.2,UNDER,True,0.91,91.0
q3_total,men_or_open,15492673,Famalicense,Gafanha,55.0,22.7,27.7,40,-27.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15492672,Acad?mico FC,Juvemaia-ACDC Maia,55.0,29.6,34.6,38,-20.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15656207,Newfoundland Rogues,Halifax Hoopers,55.0,42.6,47.6,54,-7.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15492671,CB Viana,AD Sanjoanense,55.0,24.7,29.7,35,-25.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15905264,BBA Porsche U14,Zalgiris U14,55.0,24.5,29.5,27,-25.5,UNDER,True,0.91,91.0
q3_total,women,15871254,Hamar Thor,Selfoss,55.0,16.1,21.1,38,-33.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15656216,Tri-City Tide,Port City Power,55.0,29.6,34.6,54,-20.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15656154,DMV Soldiers,Tri-State Admirals,55.0,29.6,34.6,48,-20.4,UNDER,True,0.91,91.0
