model,gender,n_train,n_test,mae,rmse,r2
q3_home_men_or_open,men_or_open,4596,1150,3.76,4.76,0.483
q3_home_women,women,1052,263,3.62,4.6,0.45
q3_away_men_or_open,men_or_open,4596,1150,3.75,4.75,0.469
q3_away_women,women,1052,263,3.38,4.26,0.424
q3_total_men_or_open,men_or_open,4596,1150,5.42,6.96,0.54
q3_total_women,women,1052,263,5.04,6.3,0.292
q4_home_men_or_open,men_or_open,4596,1150,3.55,4.57,0.495
q4_home_women,women,1052,263,3.22,4.14,0.458
q4_away_men_or_open,men_or_open,4596,1150,3.54,4.68,0.468
q4_away_women,women,1052,263,3.35,4.14,0.395
q4_total_men_or_open,men_or_open,4596,1150,5.49,7.34,0.459
q4_total_women,women,1052,263,5.17,6.4,0.291
