league,total,l30,l7,weeks,is_women,volume_s,recency_s,consistency_s,gender_s,total_score,decision,reason
NBA,624,205,32,14,0,40.0,30.0,12.0,15.0,97.0,activate,score 97.0>=40; 624 muestras totales; 205 en ultimos 30 dias.
B1 League,216,60,36,10,0,28.0,30.0,12.0,15.0,85.0,activate,score 85.0>=40; 216 muestras totales; 60 en ultimos 30 dias.
NBA G League,373,74,0,11,0,35.0,18.0,15.0,15.0,83.0,activate,score 83.0>=40; 373 muestras totales; 74 en ultimos 30 dias.
Poland 2nd Basketball League; Runda Zasadnicza,370,79,0,11,0,35.0,18.0,12.0,15.0,80.0,activate,score 80.0>=40; 370 muestras totales; 79 en ultimos 30 dias.
China CBA,191,84,28,11,0,22.0,30.0,12.0,15.0,79.0,activate,score 79.0>=40; 191 muestras totales; 84 en ultimos 30 dias.
Liga Argentina; Group Stage,278,46,0,11,0,28.0,14.0,15.0,15.0,72.0,activate,score 72.0>=40; 278 muestras totales; 46 en ultimos 30 dias.
Argentina Liga Nacional,133,50,16,14,0,15.0,30.0,12.0,15.0,72.0,activate,score 72.0>=40; 133 muestras totales; 50 en ultimos 30 dias.
NCAA Men's Division I; Regular season,1070,0,0,5,0,40.0,0.0,12.0,15.0,67.0,dormant,score 67.0 suficiente pero solo 0 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
NCAA Men's Division II; Regular season,536,0,0,4,0,40.0,0.0,12.0,15.0,67.0,dormant,score 67.0 suficiente pero solo 0 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
Euroleague,147,48,12,13,0,15.0,23.0,12.0,15.0,65.0,activate,score 65.0>=40; 147 muestras totales; 48 en ultimos 30 dias.
B2 League,145,48,14,12,0,15.0,23.0,12.0,15.0,65.0,activate,score 65.0>=40; 145 muestras totales; 48 en ultimos 30 dias.
Brazil NBB,140,43,12,12,0,15.0,23.0,12.0,15.0,65.0,activate,score 65.0>=40; 140 muestras totales; 43 en ultimos 30 dias.
Élite 2,111,41,10,11,0,15.0,23.0,12.0,15.0,65.0,activate,score 65.0>=40; 111 muestras totales; 41 en ultimos 30 dias.
Poland 1st Division Basketball,101,34,14,13,0,15.0,23.0,12.0,15.0,65.0,activate,score 65.0>=40; 101 muestras totales; 34 en ultimos 30 dias.
